id	ano	tipo_item	classificação	Cultivar	Quantidade (Kg)
4	2022	item	Americanas e híbridas	Bourdin (S)	*
5	2022	item	Americanas e híbridas	BRS Carmen	*
6	2022	item	Americanas e híbridas	BRS Cora	*
7	2022	item	Americanas e híbridas	BRS Magna	*
8	2022	item	Americanas e híbridas	BRS Margot	*
9	2022	item	Americanas e híbridas	BRS Morena	*
10	2022	item	Americanas e híbridas	BRS Rúbea	*
11	2022	item	Americanas e híbridas	BRS Violeta	*
12	2022	item	Americanas e híbridas	BRS Vitória	*
13	2022	item	Americanas e híbridas	Champagnon (Champanheta)	*
14	2022	item	Americanas e híbridas	Coleções	*
15	2022	item	Americanas e híbridas	Concord	*
16	2022	item	Americanas e híbridas	Concord clone 30	*
17	2022	item	Americanas e híbridas	Couderc	*
18	2022	item	Americanas e híbridas	Cynthiana(1)	*
19	2022	item	Americanas e híbridas	Herbemont	*
20	2022	item	Americanas e híbridas	IAC 138022	*
21	2022	item	Americanas e híbridas	Isabel	*
22	2022	item	Americanas e híbridas	Isabel Precoce	*
23	2022	item	Americanas e híbridas	Jacquez	*
24	2022	item	Americanas e híbridas	Kyoko	*
25	2022	item	Americanas e híbridas	Landot	*
26	2022	item	Americanas e híbridas	Mistura de uvas americanas tinto	*
27	2022	item	Americanas e híbridas	Oberlin	*
28	2022	item	Americanas e híbridas	Othello	*
29	2022	item	Americanas e híbridas	Paco	*
30	2022	item	Americanas e híbridas	Patricia	*
31	2022	item	Americanas e híbridas	Seibel	*
32	2022	item	Americanas e híbridas	Seibel 2 (seibeleto)	*
33	2022	item	Americanas e híbridas	Seyve Willard (Tinta)	*
34	2022	item	Americanas e híbridas	Vênus	*
35	2022	subtotal	Americanas e híbridas	BRANCAS E ROSADAS	*
36	2022	item	Americanas e híbridas	Baco	*
37	2022	item	Americanas e híbridas	Bokay	*
38	2022	item	Americanas e híbridas	BRS Clara	*
39	2022	item	Americanas e híbridas	BRS Lorena	*
40	2022	item	Americanas e híbridas	Couderc 13	*
41	2022	item	Americanas e híbridas	Delaware	*
42	2022	item	Americanas e híbridas	Dona Zillá	*
43	2022	item	Americanas e híbridas	Dut Chess	*
44	2022	item	Americanas e híbridas	Goethe	*
45	2022	item	Americanas e híbridas	IAC	*
46	2022	item	Americanas e híbridas	Juliana	*
47	2022	item	Americanas e híbridas	Martha	*
48	2022	item	Americanas e híbridas	Mistura de uvas americanas	*
49	2022	item	Americanas e híbridas	Moscato Embrapa	*
50	2022	item	Americanas e híbridas	Niagara	*
51	2022	item	Americanas e híbridas	Niagara Branca	*
52	2022	item	Americanas e híbridas	Niagara Rosada	*
53	2022	item	Americanas e híbridas	Poloske	*
54	2022	item	Americanas e híbridas	Seleções	*
55	2022	item	Americanas e híbridas	Seyve Villard	*
56	2022	item	Americanas e híbridas	Seyve Villard 5276	*
57	2022	item	Americanas e híbridas	Seyve Villard 12375	*
58	2022	item	Americanas e híbridas	Tardia de Caxias	*
59	2022	item	Americanas e híbridas	Outras(2)	*
60	2022	item	Americanas e híbridas	Total	0
61	2022	total	Americanas e híbridas	Total	0
id	2022	subtotal	Uvas de mesa	TINTAS	*
1	2022	item	Uvas de mesa	Alphonse Lavallee	*
2	2022	item	Uvas de mesa	Moscato de Hamburgo	*
3	2022	subtotal	Uvas de mesa	BRANCAS	*
4	2022	item	Uvas de mesa	Cardinal	*
5	2022	item	Uvas de mesa	Golden Queen	*
6	2022	item	Uvas de mesa	Patrícia	*
7	2022	item	Uvas de mesa	Perlona	*
8	2022	item	Uvas de mesa	Italia	*
9	2022	item	Uvas de mesa	Rubi (Itália, Itália Ro)	*
10	2022	item	Uvas de mesa	Total	0
11	2022	total	Uvas de mesa	Total	0
id	2022	subtotal	Sem classificação	Sem classificação	*
1	2022	item	Sem classificação	Total	0
2	2022	total	Sem classificação	Total	0
