id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25,Catar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,9
26,"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0
27,Chile,0,0,0,0,0,0,0,0,0,0,42050,50666,1882,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186900,0,0,0,0,0,27351,0,5328,0,0,3656,4132,0,11932,36263,4855,9
28,China,0,0,0,0,0,0,0,0,0,0,0,0,11101,104550,111378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765,175,65843,0,26130,2669,49409,71089,13,654014,1849806,3439063,2263084
29,Chipre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,334,567,456,256,196
30,Cingapura,0,0,0,0,0,0,0,0,0,0,0,0,30241,0,22218,20801,8265,13608,50656,2862,25006,35374,13974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16810,2262,1350,0,0,0,0
31,Colômbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7950,43063,0,0,0,0,0,0,0,689,1073,0,0,0,0,0,56520,59440,17530,24946,24231,0,0,0,3,25133,0,0
32,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Coreia do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233842,2308855,203234,0,0,0,0,0,0,786780,549822,705116,333284,0,0,0,0,71028,0,0,0,0,0,0,0,0,104520,175296
34,Costa do Marfim,0,0,0,0,0,0,0,0,0,300,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15637,0,0,0,3600,0,0
36,Coveite,0,0,0,0,0,0,0,0,0,0,0,0,0,569797,0,224407,103175,194814,209800,0,219791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,0,0,0,0,0,0,24462,0,0
37,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682,2703,0,3739,2691,1205,1458
39,Dinamarca,0,0,0,0,0,0,3802,0,0,583,0,0,0,0,0,111892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,258588,0,0,0,0,0,0,0,0,301,202,233,500,63,499
40,"Dominica, Ilha de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
41,El Salvador,0,0,3409,1389,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Emirados Árabes Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23641,33545,6735,0,5721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,3931,0,2376
43,Equador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35943,0,31516,52650
44,Espanha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53053,0,0,0,0,0,2465,0,0,0,0,0,4759,0,0,0,0,0,0,0,0,0,0,0,69594
45,Estados Unidos,0,0,157943,358378,488669,696425,358726,404236,1317441,1202495,1464321,1224814,1555567,2230586,3350887,4204117,4906620,4173363,4645817,7426060,10238620,3341042,16094455,11955186,7809634,2833096,5939295,11862677,5413671,7448250,9233753,6190098,3585834,3096244,4517945,4485898,913816,1148273,718425,2988810,627756,416612,0,135747,34260,62474,33171,101452,84556,2418,196296,2084134,1279286,2991976
46,Falkland (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0
47,Filipinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5959,12709,0,0,0,0,0,0,0,0,12220,92397,0,0,0,0,0,0,0,0,0,0,52033,51847,0,0,0,0,0,0,0,304551,0,0,46,0,204,173,25123,1403
48,Finlândia,0,0,0,0,0,0,0,514214,463792,635188,572049,44718,78085,154654,202252,280781,164646,480678,249276,169382,42612,48826,0,38125,22113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0
49,França,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,50,0,3,455
50,Gana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,11313,0,0,0,0,5429,0,0,0,0,0,0,0,0,0,0,0,91022,278434
51,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,94,0
52,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0
53,Grécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,124,763,26,304,850
54,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6208,0,4650,4554,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,62,25,414
